Phase,Name,Pool,AnnRet,TotRet,Sharpe,MaxDD,Calmar,Trades,Stops,DefMo,TotMo,mw,sw,mh,msw,sl,am
P1-,"P1-Extrm (63d, top5,-15%,NO)",old(10),0.1327,0.8604,0.9023,0.1554,0.8538,56,1,0,60,63,5,5,0.25,-0.15,False
P1-,"P1-Ultra (42d, top5,-15%,NO)",old(10),0.1242,0.7923,0.8697,0.1492,0.8328,55,1,0,60,42,3,5,0.25,-0.15,False
P1-,"P1-Aggr  (63d, top4,-12%,NO)",old(10),0.1101,0.6827,0.7824,0.1554,0.7084,57,2,0,60,63,5,4,0.3,-0.12,False
P1-,"P1-NoAM  (126d,top4,-12%,NO)",old(10),0.0947,0.5699,0.7042,0.1494,0.6341,55,2,0,60,126,10,4,0.3,-0.12,False
P1-,"P1-Base  (252d,top3,-10%,AM)",old(10),0.0886,0.5268,0.7138,0.1453,0.6102,55,1,4,60,252,21,3,0.4,-0.1,True
P1-,"P1-Mild  (126d,top4,-12%,AM)",old(10),0.0561,0.3128,0.5060,0.1352,0.4150,53,1,8,60,126,10,4,0.3,-0.12,True
P2-,P2-OldPool(10),old(10),0.0947,0.5699,0.7042,0.1494,0.6341,55,2,0,60,126,10,4,0.3,-0.12,False
P2-,P2-NewPool(12),new(12),0.1050,0.6447,0.6763,0.1995,0.5265,105,7,0,60,126,10,4,0.3,-0.12,False
P2-,P2-NewPool(12),new(12),0.1050,0.6447,0.6763,0.1995,0.5265,105,7,0,60,126,10,4,0.3,-0.12,False
P3-,P3-ATRstop,new(12),0.0830,0.4878,0.5530,0.2324,0.3571,103,7,0,60,126,10,4,0.3,-0.12,False
P3-,P3-MomWgt,new(12),0.0447,0.2433,0.3477,0.2683,0.1665,58,1,0,60,126,10,4,0.3,-0.12,False
P3-,P3-Both,new(12),0.0447,0.2433,0.3477,0.2683,0.1665,58,1,0,60,126,10,4,0.3,-0.12,False
